id,event,dateStamp,timeStamp,voyage_From,lat,lon,imo_num,voyage_Id,allocatedVoyageId
1,SOSP,43831,0.708333,Port A,34.0522,-118.2437,9434761,6,
2,EOSP,43832,0.333333,Port B,36.7783,-119.4179,9434761,6,
3,SOSP,43832,0.583333,Port B,36.7783,-119.4179,9434761,6,
4,EOSP,43833,0.25,Port C,37.7749,-122.4194,9434761,6,
5,SOSP,43833,0.666667,Port C,37.7749,-122.4194,9434761,6,
6,EOSP,43834,0.5,Port D,34.0522,-118.2437,9434761,6,
7,SOSP,43834,0.75,Port D,34.0522,-118.2437,9434761,6,
8,EOSP,43835,0.25,Port E,32.7157,-117.1611,9434761,6,
9,SOSP,43835,0.583333,Port E,32.7157,-117.1611,9434761,6,
10,EOSP,43836,0.3,Port F,29.7604,-95.3698,9434761,6,
11,SOSP,43836,0.7,Port F,29.7604,-95.3698,9434761,6,
12,EOSP,43837,0.5,Port G,25.7617,-80.1918,9434761,6,
13,SOSP,43837,0.75,Port G,25.7617,-80.1918,9434761,6,
14,EOSP,43838,0.583333,Port H,40.7128,-74.006,9434761,6,
15,SOSP,43839,0.3,Port H,40.7128,-74.006,9434761,6,
16,EOSP,43839,0.7,Port I,48.8566,2.3522,9434761,6,
17,SOSP,43840,0.5,Port I,48.8566,2.3522,9434761,6,
18,EOSP,43840,0.75,Port J,51.5074,-0.1278,9434761,6,
19,SOSP,43841,0.25,Port J,51.5074,-0.1278,9434761,6,
20,EOSP,43841,0.583333,Port K,35.6895,139.6917,9434761,6,
